dataset_name,target_epsilon,accuracy
dpdl-benchmark/patch_camelyon,6.072631872041288,0.8433161973953247
dpdl-benchmark/patch_camelyon,6.5424709497922935,0.8283251523971558
dpdl-benchmark/patch_camelyon,7.048661442157817,0.8664637207984924
dpdl-benchmark/patch_camelyon,7.5940158553917145,0.8311350345611572
dpdl-benchmark/patch_camelyon,8.181564299148176,0.8674476146697998
dpdl-benchmark/patch_camelyon,8.814571322440727,0.8342495560646057
dpdl-benchmark/patch_camelyon,9.496554052198045,0.8746219873428345
dpdl-benchmark/patch_camelyon,10.23130173519855,0.8693368434906006
dpdl-benchmark/patch_camelyon,11.022896791962967,0.8505802154541016
dpdl-benchmark/patch_camelyon,11.875737499585098,0.8668558597564697
dpdl-benchmark/patch_camelyon,12.794562429531425,0.860203742980957
dpdl-benchmark/patch_camelyon,13.784476776191466,0.871997594833374
dpdl-benchmark/patch_camelyon,14.850980722466229,0.8486602306365967
dpdl-benchmark/patch_camelyon,16.0,0.8463671207427979
dpdl-benchmark/sun397,0.01,0.003147799987345934
dpdl-benchmark/sun397,0.010773699258659447,0.003183492925018072
dpdl-benchmark/sun397,0.011607259571603908,0.003243502927944064
dpdl-benchmark/sun397,0.01250531238416568,0.003329798113554716
dpdl-benchmark/sun397,0.013472847476259053,0.003329798113554716
dpdl-benchmark/sun397,0.014515240686700398,0.002763250609859824
dpdl-benchmark/sun397,0.015638283782556744,0.002763250609859824
dpdl-benchmark/sun397,0.016848216639483767,0.0025655266363173723
dpdl-benchmark/sun397,0.018151761911853994,0.0025655266363173723
dpdl-benchmark/sun397,0.019556162385310417,0.0025655266363173723
dpdl-benchmark/sun397,0.021069221219284253,0.002633175812661648
dpdl-benchmark/sun397,0.022699345303073465,0.002640685997903347
dpdl-benchmark/sun397,0.02445559196637773,0.002640685997903347
dpdl-benchmark/sun397,0.02634771930382417,0.002640685997903347
dpdl-benchmark/sun397,0.02838624039309777,0.002446848899126053
dpdl-benchmark/sun397,0.030582481707924616,0.0031982148066163063
dpdl-benchmark/sun397,0.03294864605046334,0.0031253653578460217
dpdl-benchmark/sun397,0.03549788035277094,0.003323648124933243
dpdl-benchmark/sun397,0.03824434872406301,0.00282167992554605
dpdl-benchmark/sun397,0.04120331114963508,0.002831533085554838
dpdl-benchmark/sun397,0.04439120827871378,0.003654617117717862
dpdl-benchmark/sun397,0.04782575277233758,0.003123435191810131
dpdl-benchmark/sun397,0.05152602771881634,0.003356494242325425
dpdl-benchmark/sun397,0.055512592663587754,0.0037373192608356476
dpdl-benchmark/sun397,0.05980759784259593,0.00428323308005929
dpdl-benchmark/sun397,0.06443490725389782,0.0031115165911614895
dpdl-benchmark/sun397,0.06942023125131089,0.004289058968424797
dpdl-benchmark/sun397,0.07479126939682151,0.004558861255645752
